ranking,Korean_word,etymology,Japanese_meaning,memo,part_of_speech,hint,grade
1195,가게,,店,,명,,A
898,가격,,価格,,명,價格,B
7434,가구,,家具,,명,家具,B
4964,가까워지다,,近づく,,동,,B
1695,가까이,,近くに,,부,,B
648,가깝다,,近い,,형,,A
1747,가꾸다,,（植物を）育てる、（身だしなみを）整える,,동,,B
852,가끔,,時々、たまに,,부,,A
1716,가난하다,,貧しい,,형,,B
2757,가늘다,,細い,,형,,B
483,가능성,,可能性,,명,可能性,B
501,가능하다,,可能だ,,형,可能-,B
25,가다,,行く,,동,,A
1196,가득,,（容れ物に）いっぱいに,,부,~ 차다,B
3561,가득하다,,（容れ物に）いっぱいだ,,형,,B
9014,가로,,横に,,명,~와 세로,B
2789,가루,,粉,,명,분필 ~,B
698,가르치다,,教える,,동,,A
2913,가리다01,,遮る,,동,시야를 ~,B
2305,가리다02,,区別する,,동,시비를 ~,B
1367,가리키다,,示す,,동,,B
1706,가만히,,じっと、何もせず,,부,,B
1530,가방,,カバン,,명,~을 메다,A
1189,가볍다,,軽い,,형,,A
2000,가수,,歌手,,명,歌手,A
2053,가스,,ガス,,명,gas,B
384,가슴,,胸,,명,,A
3904,가슴속,,胸の内,,명,,B
6526,가요,,歌謡、大衆曲,,명,歌謠,B
264,가운데,,中央,,명,,A
6172,가위,,鋏[はさみ],,명,기구,B
1268,가을,,秋,,명,,A
5167,가이드,,ガイド,,명,guide,B
127,가장,,最も,,부,,A
715,가정,,過程,,명,家庭,B
3512,가져가다,,持っていく,,동,,B
5704,가져다주다,,持っていってあげる、持ってきてくれる,,동,,B
1060,가져오다,,持ってくる,,동,,A
409,가족,,家族,,명,家族,A
5072,가죽,,革、（動物の）皮膚,,명,,B
2124,가지01,,枝,,명,~를 치다,B
129,가지02,,～種類,,의,한 ~,B
94,가지다,,持つ、所有する,「所有する、備えている」という意味であり、「（物理的に手に）持つ」という意味はない。,동,,A
4668,가짜,,偽物、偽者,,명,假-,B
422,각,,各,,관,各,B
751,각각,,各々、それぞれ,,부,各各,B
2885,각국,,各国,,명,各國,B
3562,각자,,各自,,부,各自,B
815,각종,,各種,,명,各種,B
335,간,,～間,,의,間. 서울과 부산 ~,B
1336,간단하다,,簡単だ、単純だ,「易しい」という意味よりも「単純だ」という意味が強い。,형,簡單-,B
2987,간단히,,簡単に,,부,簡單-,B
8290,간식,,おやつ、間食,,명,間食,B
3100,간장,,醤油,,명,#NAME?,B
7438,간호사,,看護師,,명,看護師,A
6736,갈다01,,替える,,동,바꾸다,B
2401,갈다02,,歯ぎしりをする,,동,문지르다,B
12246,갈비,,カルビ（肋骨付近の肉）,,명,,A
38470,갈비탕,,カルビタン,牛の骨付きあばら肉を煮込んだスープ,명,#NAME?,B
3342,갈색,,茶色,,명,褐色,B
4035,갈아입다,,着替える,,동,,B
9018,갈아타다,,乗り換える,,동,,B
8293,감,,柿,,명,과일,B
3343,감기,,風邪,,명,感氣,A
2125,감다,,（目を）閉じる,,동,눈을 ~,B
2432,감동,,感動,,명,感動,B
6352,감사,,感謝,,명,感謝,A
4966,감사하다,,感謝する,,동,感謝-,A
6530,감상,,鑑賞,,명,鑑賞,B
4321,감상하다,,鑑賞する,,동,鑑賞-,B
3513,감자,,ジャガイモ,,명,,B
846,감정,,感情,,명,感情,B
475,갑자기,,急に、突然,,부,,A
788,값,,値段,,명,,A
1812,강,,大きな川,,명,江,A
8651,강당,,講堂,,명,講堂,B
4967,강도,,強盗,,명,强盜,B
2988,강물,,大きな川の水,,명,江-,B
14028,강아지,,子犬,,명,,B
,강원도,,江原道,韓国に八つある道（大きな地方の単位）のうちの一つ。朝鮮半島の中央部の東側に位置する。,고,江原道,B
2275,강제,,強制,,명,强制,B
631,강조하다,,強調,,동,强調-,B
584,강하다,,強い,,형,强-,B
190,갖다,,持つ、所有する,「가지다」の短縮形。,동,가지다,B
22,같다,,同じだ、～のようだ,「<名詞>하고 같다」は「<名詞>と同じだ」という意味だが、「<名詞> 같다」では「<名詞>のようだ」という意味。,형,,A
203,같이,,一緒に,,부,,A
1569,개01,,犬,,명,동물,A
85,개02,,～個,,의,個,A
4486,개구리,,蛙,,명,,B
7440,개나리,,レンギョウ,,명,,B
1269,개발하다,,開発する,,동,開發-,B
799,개월,,～ヶ月,,의,個月,A
562,개인,,個人,,명,個人,B
2758,개인적,,個人的,,명,個人的,B
1228,걔,,その子、そいつ,,불,그 아이,B
20,거01,,,,의,것,A
3102,거02,,もの、こと,「것」の話し言葉。,대,것,A
293,거기,,そこ,,대,,A
1258,거리01,,町の通り,,명,길~,A
9901,거리02,,～になるようなもの,例えば「이야기 거리」は「話のネタ」。,의,반찬~,B
2675,거실,,リビング,,명,居室,B
2109,거울,,鏡,,명,,A
306,거의,,ほとんど,,부,,B
4039,거짓,,偽[いつわ]り、偽[にせ],,명,,B
2246,거짓말,,嘘,,명,,B
1129,걱정,,心配,,명,,A
10384,걱정되다,,心配だ,,동,,B
5850,걱정스럽다,,心配だ,,형,,B
2491,걱정하다,,心配する,,동,,A
647,건강,,健康,,명,健康,A
1297,건강하다,,健康だ、元気だ,,형,健康-,A
4255,건너가다,,渡る、渡っていく,,동,,B
2276,건너다,,渡る,,동,,B
7167,건너오다,,渡る、渡ってくる,,동,,B
5448,건너편,,向こう側,,명,#NAME?,B
649,건물,,建物,,명,建物,A
2790,건지다,,すくいあげる,,동,,B
2616,건축,,建築,,명,建築,B
546,걷다,,歩く,,동,느릿느릿 ~,A
716,걸다,,掛ける,,동,옷을 ~,A
380,걸리다,,掛かる,,동,'걸다'의 피동사,B
1970,걸어가다,,歩く、歩いていく,,동,,A
4041,걸어오다,,歩く、歩いてくる,,동,집까지 ~,A
1647,걸음,,歩み,,명,,B
1585,검다,,黒い,,형,색깔이 ~,B
1512,검사,,検査,,명,檢査,B
3064,검은색,,黒、黒色,,명,#NAME?,A
38923,검정색,,黒、黒色,,명,#NAME?,B
2644,겁,,恐れ、[怖気>おじけ],例えば「겁이 많다」は「気が小さい」という意味。,명,怯,B
1,것,,もの、こと,,의,,A
2759,겉,,外側,,명,,B
1415,게다가,,その上,,부,,B
877,게임,,ゲーム,,명,game,A
1648,겨우,,ようやく、どうにか,,부,,B
920,겨울,,冬,,명,,A
6009,겨울철,,冬の季節,,명,,B
1341,견디다,,耐える,,동,,B
211,결과,,結果,,명,結果,B
352,결국,,結局,,명,結局,B
3623,결심하다,,決心する,,동,決心-,B
1092,결정,,決定,,명,決定,B
1986,결정되다,,決定する、決まる,,동,決定-,B
1033,결정하다,,決定する、決める,,동,決定-,B
601,결혼,,結婚,,명,結婚,A
3389,결혼식,,結婚式,,명,結婚式,A
1130,결혼하다,,結婚する,,동,結婚-,A
739,경기,,競技,,명,競技,B
,경기도,,京畿道,韓国に八つある道（大きな地方の単位）のうちの一つ。朝鮮半島の中央部の西側に位置する。,고,京畿道,B
3624,경기장,,競技場,,명,競技場,B
,경복궁,,景福宮,,고,景福宮,A
,경상도,,慶尚道,韓国に八つある道（大きな地方の単位）のうちの一つ。朝鮮半島の南東部に位置する。,고,慶尙道,B
1034,경영,,経営,,명,經營,B
65,경우,,場合,,명,境遇,B
200,경제,,経済,,명,經濟,B
2492,경제적,,経済的,,명,經濟的,B
,경주,,慶州,,고,慶州,A
632,경찰,,警察,,명,警察,A
2329,경찰관,,警察官,,명,警察官,A
3214,경찰서,,警察署,,명,警察署,A
5452,경치,,景色,,명,景致,A
585,경험,,経験,,명,經驗,B
2170,경험하다,,経験する,,동,經驗-,B
1586,곁,,隣、横,,명,,B
2206,계단,,階段,,명,階段,B
6951,계란,,鶏の卵,,명,鷄卵,A
1827,계산,,計算、会計,,명,計算,B
3390,계산기,,計算機,,명,計算器,B
2916,계산하다,,計算する、会計する,,동,計算-,B
405,계속,,続けて、継続,,부,繼續,A
1075,계속되다,,続く、継続する,,동,繼續-,B
1149,계속하다,,続ける、継続する,,동,繼續-,B
1163,계시다,,いらっしゃる,「있다」の尊敬語。,동,,A
2350,계약,,契約,,명,契約,B
2520,계절,,季節,,명,季節,A
400,계획,,計画,,명,計劃,A
4862,계획하다,,計画する,,동,計劃-,B
403,고개,,頭,頭の向きに関する表現で用いられる。,명,~를 돌리다,B
1717,고객,,顧客,,명,顧客,B
3968,고교,,高校,,명,高校,B
7996,고구마,,サツマイモ,,명,,B
1915,고급,,高級、上級,,명,高級,B
1055,고기,,肉,,명,,A
1337,고등학교,,高校,,명,高等學校,A
7445,고등학생,,高校生,,명,高等學生,A
1490,고려하다,,考慮する,,동,考慮-,B
1496,고르다01,,選ぶ,,동,뽑다,B
5175,고르다02,,平坦だ,,형,차이가 없다,B
857,고맙다,,ありがたい,,형,,A
1848,고모,,おば、父親の姉妹,,명,姑母,B
8668,고모부,,おじ、父親の姉妹の夫,,명,姑母夫,B
1748,고민,,悩み,,명,苦悶,B
3104,고민하다,,悩む,,동,苦悶-,B
1916,고생,,苦労,,명,苦生,B
3065,고생하다,,苦労する,,동,苦生-,B
6178,고속,,高速,,명,高速,B
5176,고속도로,,高速道路,,명,高速道路,B
11580,고속버스,,高速バス,,명,高速bus,B
1987,고양이,,猫,,명,,A
1480,고장01,,里[さと],,명,지역,B
3625,고장02,,故障,,명,故障,B
2126,고추,,唐辛子,,명,,B
6014,고추장,,唐辛子味噌,,명,#NAME?,B
9916,고춧가루,,唐辛子を乾燥させた粉,,명,,B
1503,고치다,,直す、修理する,,동,,B
986,고통,,苦痛,,명,苦痛,B
5860,고프다,,（お腹が）空[す]く,,형,,A
593,고향,,故郷,,명,故鄕,A
307,곧,,すぐに,,부,,A
3215,곧바로,,すぐに,,부,,B
2821,골목,,路地,,명,,B
7448,골목길,,路地,,명,,B
5717,골프,,ゴルフ,,명,golf,B
6015,골프장,,ゴルフ場,,명,golf場,B
4671,곰,,熊,,명,동물,B
1326,곱다,,美しい,「아름답다」や「예쁘다」より古めかしい表現。,형,아름답다,B
116,곳,,ところ,「데」に比べると書き言葉的。,명,,A
2589,곳곳,,複数の場所,,명,,B
988,공,,ボール,,명,축구~,A
623,공간,,空間,,명,空間,B
1433,공기,,空気,,명,空氣,B
953,공동,,共同,,명,共同,B
1865,공무원,,公務員,,명,公務員,B
490,공부,,勉強,,명,工夫,A
807,공부하다,,勉強する,,동,工夫-,A
1374,공사,,工事,,명,工事,B
1067,공연,,公演,,명,公演,B
2950,공원,,公園,,명,公園,A
685,공장,,工場,,명,工場,B
8672,공중전화,,公衆電話,,명,公衆電話,A
6540,공짜,,無料,,명,空-,B
5179,공책,,ノート,,명,空冊,A
2433,공항,,空港,,명,空港,A
20070,공항버스,,空港バス,,명,空港bus,B
9466,공휴일,,国定休日,,명,公休日,A
996,과,,課,,명,課,A
549,과거,,過去,,명,過去,B
2704,과목,,科目,,명,科目,B
1491,과일,,果物,,명,,A
4402,과자,,菓子,,명,菓子,A
2351,과장,,課長,,명,課長,B
1259,과제,,課題,,명,課題,B
346,과학,,科学,,명,科學,B
1718,과학자,,科学者,,명,科學者,B
2734,과학적,,科学的,,명,科學的,B
1814,관객,,観客,,명,觀客,B
152,관계,,関係,,명,關係,B
1719,관광,,観光,,명,觀光,B
3730,관광객,,観光客,,명,觀光客,B
7182,관광지,,観光地,,명,觀光地,B
420,관련,,関連,,명,關聯,B
1288,관련되다,,関連する,,동,關聯-,B
1481,관련하다,,関連する,,동,關聯-,B
858,관리,,管理,,명,管理,B
312,관심,,関心、興味,,명,關心,B
2070,관찰하다,,観察する,,동,觀察-,B
301,관하다,,関する,,동,關-,B
316,광고,,広告,,명,廣告,B
,광주,,光州,,고,光州,B
813,괜찮다,,大丈夫だ、悪くない,,형,,A
2071,괜히,,大した理由もなく,,부,,B
3516,괴롭다,,苦しい,,형,,B
